length, sentence, chapter, ranking
78,{ rtf1 ansi ansicpg1252 cocoartf1504 cocoasubrtf830 { fonttbl f0 fmodern fcharset0 Courier } { colortbl  red255 green255 blue255 } { * expandedcolortbl  }  paperw11900 paperh16840 margl1440 margr1440 vieww15400 viewh12540 viewkind0  deftab720  pard pardeftab720 partightenfactor0   f0 fs26  cf0  expnd0 expndtw0 kerning0 I    INTRODUCTORY: LANGUAGE DEFINED      Speech is so familiar a feature of daily life that we rarely pause to  define it,1
17, It seems as natural to man as walking  and only less so than  breathing,1
22, Yet it needs but a moment's reflection to convince us that  this naturalness of speech is but an illusory feeling,1
27, The process of  acquiring speech is  in sober fact  an utterly different sort of thing  from the process of learning to walk,1
30, In the case of the latter  function  culture  in other words  the traditional body of social usage   is not seriously brought into play,1
34, The child is individually equipped   by the complex set of factors that we term biological heredity  to make  all the needed muscular and nervous adjustments that result in walking,1
38,  Indeed  the very conformation of these muscles and of the appropriate  parts of the nervous system may be said to be primarily adapted to the  movements made in walking and in similar activities,1
67, In a very real  sense the normal human being is predestined to walk  not because his  elders will assist him to learn the art  but because his organism is  prepared from birth  or even from the moment of conception  to take on  all those expenditures of nervous energy and all those muscular  adaptations that result in walking,1
16, To put it concisely  walking is an  inherent  biological function of man,1
7,    Not so language,1
59, It is of course true that in a certain sense the  individual is predestined to talk  but that is due entirely to the  circumstance that he is born not merely in nature  but in the lap of a  society that is certain  reasonably certain  to lead him to its  traditions,1
26, Eliminate society and there is every reason to believe that  he will learn to walk  if  indeed  he survives at all,1
32, But it is just as  certain that he will never learn to talk  that is  to communicate ideas  according to the traditional system of a particular society,1
28, Or  again   remove the new-born individual from the social environment into which he  has come and transplant him to an utterly alien one,1
25, He will develop the  art of walking in his new environment very much as he would have  developed it in the old,1
17, But his speech will be completely at variance  with the speech of his native environment,1
25, Walking  then  is a general  human activity that varies only within circumscribed limits as we pass  from individual to individual,1
8, Its variability is involuntary and  purposeless,1
41, Speech is a human activity that varies without assignable  limit as we pass from social group to social group  because it is a  purely historical heritage of the group  the product of long-continued  social usage,1
39, It varies as all creative effort varies not as  consciously  perhaps  but none the less as truly as do the religions   the beliefs  the customs  and the arts of different peoples,1
30, Walking is  an organic  an instinctive  function (not  of course  itself an  instinct)  speech is a non-instinctive  acquired  "cultural" function,1
49,    There is one fact that has frequently tended to prevent the recognition  of language as a merely conventional system of sound symbols  that has  seduced the popular mind into attributing to it an instinctive basis  that it does not really possess,1
45, This is the well-known observation that  under the stress of emotion  say of a sudden twinge of pain or of  unbridled joy  we do involuntarily give utterance to sounds that the  hearer interprets as indicative of the emotion itself,1
29, But there is all  the difference in the world between such involuntary expression of  feeling and the normal type of communication of ideas that is speech,1
63,  The former kind of utterance is indeed instinctive  but it is  non-symbolic  in other words  the sound of pain or the sound of joy does  not  as such  indicate the emotion  it does not stand aloof  as it were   and announce that such and such an emotion is being felt,1
34, What it does  is to serve as a more or less automatic overflow of the emotional  energy  in a sense  it is part and parcel of the emotion itself,1
15,  Moreover  such instinctive cries hardly constitute communication in any  strict sense,1
